sample_id,event_id,date,latitude,longitude,elevation_m,slope_deg,rain_prev_24h_mm,rain_prev_72h_mm,rain_prev_7d_mm,label,sample_type,exclusion_distance_m,random_seed,terrain_source,terrain_resolution_m,rainfall_source,rainfall_native_resolution_m,crs
BG_0,,2024-05-28,23.585251974918286,92.99281391041264,957.8583,22.727901,115.84728240966797,187.52660369873047,213.24666786193848,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_1,,2024-05-28,23.964430856345135,92.75485019164937,363.7861,20.595139,125.06549835205078,268.83361053466797,268.83361053466797,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_2,,2024-05-28,23.921042228122165,92.58506860295078,855.103,33.677433,159.35244750976562,273.2596130371094,273.2596130371094,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_3,,2024-05-28,23.5402463791839,92.947538820093,1408.2559,17.397863,130.1573486328125,191.429931640625,234.52980041503906,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_4,,2024-05-28,23.824293672022492,92.52685777253983,91.00288,6.3940716,175.89549255371094,295.497013092041,295.497013092041,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_5,,2024-05-28,24.055520026154856,92.72224134683583,115.83969,12.780319,146.2703399658203,288.20024490356445,288.20024490356445,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_6,,2024-05-28,23.651547642886307,92.7799131880763,303.1686,33.734924,158.02207946777344,261.5828323364258,281.0533618927002,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_7,,2024-05-28,23.556955043468523,92.91492997527946,892.63837,43.053272,130.8920135498047,206.7709083557129,235.54150390625,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_8,,2024-05-28,24.007549989982873,92.7227803360063,686.5798,17.818962,143.74636840820312,283.4876823425293,283.4876823425293,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_9,,2024-05-28,23.97655811268075,92.75646715916078,419.53018,18.420029,125.06549835205078,268.83361053466797,268.83361053466797,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_10,,2024-05-28,23.704638076177773,92.95158123887154,814.6591,31.381811,124.025390625,199.08475494384766,225.50044631958008,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_11,,2024-05-28,23.632144032749327,92.87288881998268,435.05463,27.539928,130.09585571289062,214.8979148864746,238.7138214111328,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_12,,2024-05-28,24.05201659654679,92.60231625640587,45.347546,31.341808,141.94186401367188,292.1765251159668,292.1765251159668,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_13,,2024-05-28,23.520573274461682,92.64866932506644,234.8988,19.534325,128.1201934814453,225.95767211914062,263.3019714355469,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_14,,2024-05-28,23.708411000371072,92.49559640065247,672.551,35.35474,158.54266357421875,296.9300537109375,296.9300537109375,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_15,,2024-05-28,23.962005405078013,92.53009170756266,60.64652,6.54296,203.15513610839844,320.5421829223633,320.5421829223633,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_16,,2024-05-28,24.018060278807074,92.74730434326277,248.99086,12.6809,143.74636840820312,283.4876823425293,283.4876823425293,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_17,,2024-05-28,24.08327796843415,92.88097365753976,429.87717,25.177576,124.54024505615234,257.87854766845703,257.87854766845703,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_18,,2024-05-28,23.776054141265274,92.71173105801164,724.44293,19.096758,163.2393341064453,259.32766342163086,275.81050300598145,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_19,,2024-05-28,23.874689159461596,92.5912669784112,688.11755,22.885132,160.7626953125,264.80003356933594,264.80003356933594,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_20,,2024-05-28,23.98572092857877,92.64651336838455,305.71344,18.743464,164.02464294433594,291.6515884399414,291.6515884399414,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_21,,2024-05-28,23.895440242524757,92.92786571537079,1216.746,33.102947,133.07452392578125,257.0649871826172,257.0649871826172,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_22,,2024-05-28,23.476915151653472,92.64893881965168,521.12463,33.23287,109.82012176513672,243.88508224487305,274.31085777282715,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_23,,2024-05-28,23.869838256927352,92.64866932506644,213.92892,6.121924,133.9669189453125,236.23008728027344,236.23008728027344,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_24,,2024-05-28,23.892475802087162,92.84054946975436,267.61707,36.712433,141.2335205078125,239.73375701904297,239.73375701904297,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_25,,2024-05-28,23.749104682741688,92.90954008357475,759.0956,38.186985,132.13259887695312,197.69288635253906,230.22002410888672,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_26,,2024-05-28,23.859597462688388,92.657293151794,288.4058,10.279496,138.96986389160156,255.11741638183594,255.11741638183594,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
BG_27,,2024-05-28,23.812974899442587,92.46298755583894,565.3742,29.669117,173.9872589111328,313.9410858154297,313.9410858154297,0,background_no_recorded_event,500,42,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
