date,rain_prev_24h_mm,rain_prev_72h_mm,rain_prev_7d_mm,rainfall_source,rainfall_dataset,rainfall_method,rainfall_window,region
2024-05-01,10.18563522169918,24.406088515307435,24.406088515307435,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-02,0.0,10.362199211565208,24.406088515307435,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-03,40.64246902790119,50.828104249600365,65.04855754320863,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-04,20.50083841046367,61.14330743836487,85.54939595367232,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-05,50.220587692407186,111.3638951307721,135.7699836460795,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-06,60.899869305532064,131.62129540840297,182.62596364786938,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-07,51.19763787951012,162.31809487744943,233.64703753751346,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-08,0.0,112.09750718504218,223.4614023158143,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-09,0.0,51.19763787951012,223.4614023158143,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-10,0.0,0.0,182.8189332879131,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-11,0.0,0.0,162.31809487744943,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-12,0.0,0.0,112.09750718504218,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-13,0.0,0.0,51.19763787951012,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-14,0.0,0.0,0.0,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-15,0.0,0.0,0.0,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-16,0.0,0.0,0.0,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-17,0.011691438255980497,0.011691438255980497,0.011691438255980497,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-18,0.9700476220533599,0.9817390603093404,0.9817390603093404,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-19,0.6025786333773979,1.5843176936867382,1.5843176936867382,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-20,13.674764671924589,15.247390927355351,15.25908236561133,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-21,24.28658386802176,38.56392717332375,39.5456662336331,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
2024-05-22,0.0,37.96134853994636,39.5456662336331,CHIRPS Daily,UCSB-CHG/CHIRPS/DAILY,Aizawl pilot-area mean,antecedent complete days only,Aizawl Pilot
