system:index,date,dates_found,district,districts_found,elevation_m,event_id,extraction_confidence,landslide_type,location,manual_review_reason,manually_verified,ocr_used,slope_deg,source_excerpt,source_page,source_pdf,state,﻿review_id,.geo
000000000000000000e2_0,,,Aizawl,Aizawl,1819.9227,GSI-E60AD17932D9,0.7,debris_flow,~ 3 km from Vanzao,missing_event_date,false,false,15.0770445,Slide number: MIZ/AIZ/84A13/2016/1 | State: Mizoram | District: Aizawl | Location: ~ 3 km from Vanzao | Latitude: 23.849497 | Longitude: 92.928202 | Material: Debris | Movement: Flow | History: 2016,565,landslide_report.pdf,Mizoram,GSI-REVIEW-001612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.92813520995603,23.84962616303466]}"
000000000000000000ec_0,,,Aizawl,Aizawl,175.55267,GSI-4A3610DD50B2,0.7,debris_flow,~19 km from Khawruhlian towards Sesawng on NH 150,missing_event_date,false,false,32.95011,Slide number: MIZ/AIZ/84A13/2016/33 | State: Mizoram | District: Aizawl | Location: ~19 km from Khawruhlian towards Sesawng on NH 150 | Latitude: 23.856821 | Longitude: 92.833784 | Material: Debris | Movement: Flow | History: 2016,565,landslide_report.pdf,Mizoram,GSI-REVIEW-001625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.83381210512347,23.85690251683603]}"
000000000000000000fc_0,,,Aizawl,Aizawl,712.4439,GSI-AE9F5A84B8F5,0.7,debris_flow,~6.5 km S of Khawruhlian towards Sesawng on NH 150,missing_event_date,false,false,28.648512,Slide number: MIZ/AIZ/84A13/2016/25 | State: Mizoram | District: Aizawl | Location: ~6.5 km S of Khawruhlian towards Sesawng on NH 150 | Latitude: 23.883306 | Longitude: 92.861917 | Material: Debris | Movement: Flow | History: 2016,567,landslide_report.pdf,Mizoram,GSI-REVIEW-001669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.861839541988,23.883312986189143]}"
00000000000000000101_0,,,Aizawl,Aizawl,517.0938,GSI-307B8378E0DA,0.7,debris_flow,11 km Khawruhlian milestone towards Sesawng on NH 150,missing_event_date,false,false,28.46885,Slide number: MIZ/AIZ/84A13/2016/30 | State: Mizoram | District: Aizawl | Location: 11 km Khawruhlian milestone towards Sesawng on NH 150 | Latitude: 23.887333 | Longitude: 92.851111 | Material: Debris | Movement: Flow | History: 2016,567,landslide_report.pdf,Mizoram,GSI-REVIEW-001679,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.85105975857857,23.887355404967682]}"
00000000000000000134_0,,,Aizawl,Aizawl,1078.3896,GSI-C8A50C36A406,0.7,debris_flow,SuangpuilawnLamherh section,missing_event_date,false,false,33.80676,Slide number: MZ/AIZ/84E01/2017/50 | State: Mizoram | District: Aizawl | Location: SuangpuilawnLamherh section | Latitude: 23.966917 | Longitude: 93.041473 | Material: Debris | Movement: Flow | History: NA,569,landslide_report.pdf,Mizoram,GSI-REVIEW-001751,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.04159243034032,23.96685630761226]}"
00000000000000000000_0,,,Aizawl,Aizawl,720.4096,GSI-BA9D54E4B021,0.7,debris_slide,"About 4.2km Northwest of Sailam Bazar, SH-Aizawl- Thenzawl-Lunglei Road",missing_event_date,false,false,38.09998,"Slide number: MZ/SER/84A15/2016/124 | State: Mizoram | District: Aizawl | Location: About 4.2km Northwest of Sailam Bazar, SH-Aizawl- Thenzawl-Lunglei Road | Latitude: 23.333984 | Longitude: 92.781878 | Material: Debris | Movement: Slide | History: 2016",540,landslide_report.pdf,Mizoram,GSI-REVIEW-000917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.78179965017296,23.33408302147847]}"
00000000000000000003_0,,,Aizawl,Aizawl,1364.7075,GSI-60D808B3D1FF,0.7,debris_slide,"Sailam, PMGSY Sialsuk-Sailam Road",missing_event_date,false,false,27.1064,"Slide number: MZ/SER/84A15/2016/112 | State: Mizoram | District: Aizawl | Location: Sailam, PMGSY Sialsuk-Sailam Road | Latitude: 23.353803 | Longitude: 92.794306 | Material: Debris | Movement: Slide | History: 2016",540,landslide_report.pdf,Mizoram,GSI-REVIEW-000933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.7941964010938,23.353756126200686]}"
0000000000000000000a_0,,,Aizawl,Aizawl,1165.0525,GSI-D751EE19EECF,0.7,debris_slide,"North of Sialsuk, SH-Sialsuk- Samlukhai-Damdia Road",missing_event_date,false,false,33.310825,"Slide number: MZ/AIZ/84A11/2016/98 | State: Mizoram | District: Aizawl | Location: North of Sialsuk, SH-Sialsuk- Samlukhai-Damdia Road | Latitude: 23.411146 | Longitude: 92.752193 | Material: Debris | Movement: Slide | History: 2016",542,landslide_report.pdf,Mizoram,GSI-REVIEW-001003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.75215524579701,23.411158472855924]}"
0000000000000000000d_0,,,Aizawl,Aizawl,1101.5039,GSI-8AA2E35062AE,0.7,debris_slide,"About 200m West of Smalukhai, SH-Sialsuk-Samlukhai-Damdia Road",missing_event_date,false,false,33.135334,"Slide number: MZ/AIZ/84A11/2016/96 | State: Mizoram | District: Aizawl | Location: About 200m West of Smalukhai, SH-Sialsuk-Samlukhai-Damdia Road | Latitude: 23.413501 | Longitude: 92.725781 | Material: Debris | Movement: Slide | History: 2016",543,landslide_report.pdf,Mizoram,GSI-REVIEW-001009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.72574477644389,23.413583924123046]}"
00000000000000000011_0,,,Aizawl,Aizawl,997.9419,GSI-0BC4587B638D,0.7,debris_slide,"About 2.5 km Northwest of Samlukhai, SH-Sialsuk- Samlukhai-Damdia Road",missing_event_date,false,false,25.935928,"Slide number: MZ/AIZ/84A11/2016/93 | State: Mizoram | District: Aizawl | Location: About 2.5 km Northwest of Samlukhai, SH-Sialsuk- Samlukhai-Damdia Road | Latitude: 23.423348 | Longitude: 92.715571 | Material: Debris | Movement: Slide | History: 2016",543,landslide_report.pdf,Mizoram,GSI-REVIEW-001018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.71550398220494,23.423285729191537]}"
