event_id,review_id,date_original,date_parsed,year,month,latitude,longitude,district,source_pdf,source_page,source_excerpt,date_status
GSI-BA9D54E4B021,GSI-REVIEW-000917,,,,,23.333984,92.781878,Aizawl,landslide_report.pdf,540,"Slide number: MZ/SER/84A15/2016/124 | State: Mizoram | District: Aizawl | Location: About 4.2km Northwest of Sailam Bazar, SH-Aizawl- Thenzawl-Lunglei Road | Latitude: 23.333984 | Longitude: 92.781878 | Material: Debris | Movement: Slide | History: 2016",missing_date
GSI-1F4718011E48,GSI-REVIEW-000928,,,,,23.349857,92.780208,Aizawl,landslide_report.pdf,540,"Slide number: MZ/SER/84A15/2016/123 | State: Mizoram | District: Aizawl | Location: About 15.7km North of Thenzawl, SH-Aizawl-Thenzawl- Lunglei Road | Latitude: 23.349857 | Longitude: 92.780208 | Material: Rock | Movement: Slide | History: 2015",missing_date
GSI-4C29247564BE,GSI-REVIEW-000931,,,,,23.351772,92.781701,Aizawl,landslide_report.pdf,540,"Slide number: MZ/SER/84A15/2016/122 | State: Mizoram | District: Aizawl | Location: 16km Milestone, SH-Aizawl- Thenzawl-Lunglei Road | Latitude: 23.351772 | Longitude: 92.781701 | Material: Rock | Movement: Slide | History: 2015",missing_date
GSI-60D808B3D1FF,GSI-REVIEW-000933,,,,,23.353803,92.794306,Aizawl,landslide_report.pdf,540,"Slide number: MZ/SER/84A15/2016/112 | State: Mizoram | District: Aizawl | Location: Sailam, PMGSY Sialsuk-Sailam Road | Latitude: 23.353803 | Longitude: 92.794306 | Material: Debris | Movement: Slide | History: 2016",missing_date
GSI-DCB0465A9029,GSI-REVIEW-000978,,,,,23.393332,92.758148,Aizawl,landslide_report.pdf,541,"Slide number: MZ/AIZ/84A11/2016/111 | State: Mizoram | District: Aizawl | Location: About 500m of Sialsuk Junction towards Thenzawl, SH-Aizawl- Thenzawl-Lunglei Road | Latitude: 23.393332 | Longitude: 92.758148 | Material: Rock | Movement: Slide | History: 2016",missing_date
GSI-923B53752F0B,GSI-REVIEW-000986,,,,,23.397126,92.757203,Aizawl,landslide_report.pdf,542,"Slide number: MZ/AIZ/84A11/2016/110 | State: Mizoram | District: Aizawl | Location: About 800m of Sialsuk Junction towards Thenzawl, SH-Aizawl- Thenzawl-Lunglei Road | Latitude: 23.397126 | Longitude: 92.757203 | Material: Rock | Movement: Slide | History: 2016",missing_date
GSI-81F0EC93716A,GSI-REVIEW-000992,,,,,23.40178,92.750005,Aizawl,landslide_report.pdf,542,"Slide number: MZ/AIZ/84A11/2016/109 | State: Mizoram | District: Aizawl | Location: At 2km Mile Stone, North of Sialsuk, SH-Aizawl-Thenzawl- Lunglei Road | Latitude: 23.40178 | Longitude: 92.750005 | Material: Rock | Movement: Slide | History: 2016",missing_date
GSI-8CF04A0C1473,GSI-REVIEW-000993,,,,,23.403402,92.750288,Aizawl,landslide_report.pdf,542,"Slide number: MZ/AIZ/84A11/2016/108 | State: Mizoram | District: Aizawl | Location: About 2km North of Sialsuk near Two Sister Highway Hotel, SH-Aizawl-Thenzawl-Lunglei Road | Latitude: 23.403402 | Longitude: 92.750288 | Material: Rock | Movement: Slide | History: 2016",missing_date
GSI-BE3339520D0D,GSI-REVIEW-000998,08-09-2007,,,,23.406389,92.75325,Aizawl,landslide_report.pdf,542,Slide number: MIZO/AIZ/84A10/2007/E-1 | State: Mizoram | District: Aizawl | Slide name: Zembawk slide | Latitude: 23.406389 | Longitude: 92.75325 | Material: Debris | Movement: Slide | History: 08.09.2007 at night,ambiguous_date
GSI-2127A7822D24,GSI-REVIEW-001001,,,,,23.409674,92.750935,Aizawl,landslide_report.pdf,542,"Slide number: MZ/AIZ/84A11/2016/97 | State: Mizoram | District: Aizawl | Location: North of Sialsuk, SH-Sialsuk- Samlukhai-Damdia Road | Latitude: 23.409674 | Longitude: 92.750935 | Material: Rock | Movement: Slide | History: 2016",missing_date
